Localização,Latitude {N+/S-},Longitude {E+/W-},Zona Horaria {+/- GMT},Elevação {m},,,,,,,,,,,,,,
Florianopolis,-27.67,-48.55,-3,7,,,,,,,,,,,,,,

Mês,Dia,Hora,TBS {C},TBU {C},T. Pto Orvalho {C},Pressao Atmosferica {kPa},Umidade {kg/kg},U. R. {%},Densidade do ar {kg/m3},Entalpia {BTU/LB},Velocidade do Vento {m/s},Direção do Vento {graus},Cobertura Total de Nuvens {decimas},Rad Horizontal Extraterreste {Wh/m2},Rad Global Horizontal {Wh/m2},Rad Direta {Wh/m2},Rad Direta Normal {Wh/m2},Rad Difusa Horizontal {Wh/m2}
1,7,12,31.2,24.1,21.0,100.7,0.016109176,56,1.124,72.4,6,20,4,1363,982,770,773,211
1,7,13,32.2,25.8,23.2,100.7,0.018495179,60,1.116,79.5,5,40,4,1388,999,784,794,215
1,7,14,33.3,26.5,23.9,100.6,0.019269994,59,1.109,82.7,4,40,4,1335,961,754,819,207
1,7,15,32.2,25.8,23.2,100.5,0.018538616,60,1.114,79.6,4,30,4,1207,869,682,848,187
1,7,16,33.0,27.0,24.7,100.4,0.020336299,63,1.106,85.1,5,50,4,1013,730,572,876,157
1,7,17,32.0,26.5,24.3,100.4,0.019865075,65,1.111,82.8,6,10,4,767,552,433,875,119
1,7,18,30.7,26.7,25.1,100.4,0.02077192,73,1.114,83.8,6,360,4,485,350,274,515,75
1,7,19,28.0,25.5,24.3,100.4,0.019822843,82,1.126,78.6,7,10,6,187,120,77,8,42
1,7,20,26.5,25.0,24.1,100.6,0.019574332,89,1.134,76.4,5,30,5,2,2,1,2,0
1,7,21,26.3,24.3,23.2,100.6,0.018510648,85,1.137,73.5,4,40,5,0,0,0,0,0
1,7,22,25.8,24.0,23.0,100.6,0.018240033,86,1.139,72.3,4,50,5,0,0,0,0,0
1,7,23,25.5,24.2,23.4,100.7,0.018667682,90,1.141,73.0,3,60,5,0,0,0,0,0
1,7,24,25.3,24.0,23.2,100.7,0.018431735,90,1.142,72.2,3,40,6,0,0,0,0,0
1,8,1,25.0,24.0,23.3,100.6,0.018577912,92,1.142,72.3,3,330,6,0,0,0,0,0
1,8,2,24.8,24.0,23.4,100.6,0.018662444,94,1.142,72.3,3,270,6,0,0,0,0,0
1,8,3,24.8,24.1,23.5,100.6,0.018822564,94,1.142,72.7,3,300,4,0,0,0,0,0
1,8,4,24.9,24.0,23.3,100.6,0.018620175,93,1.142,72.3,3,310,4,0,0,0,0,0
1,8,5,24.3,23.8,23.3,100.6,0.018555525,96,1.144,71.5,3,360,4,0,0,0,0,0
1,8,6,24.9,24.0,23.3,100.4,0.018659158,93,1.140,72.4,4,20,4,35,25,20,45,5
1,8,7,25.2,24.4,23.8,100.4,0.019177751,94,1.137,74.0,5,10,5,295,202,148,296,54
1,8,8,26.5,24.5,23.4,100.4,0.01879088,85,1.133,74.4,4,30,6,590,378,244,216,134
1,8,9,28.1,26.0,25.0,100.5,0.020618631,85,1.125,80.7,3,360,8,861,448,172,612,276
1,8,10,29.5,27.5,26.5,100.5,0.022716133,86,1.116,87.5,4,30,5,1090,747,546,726,200
1,8,11,32.0,28.0,26.4,100.5,0.022586216,74,1.107,89.8,8,30,4,1261,908,712,751,196
1,8,12,33.8,28.2,26.2,100.5,0.022199111,66,1.102,90.7,5,50,4,1363,981,770,685,211
1,8,13,35.0,29.5,27.6,100.4,0.024262522,67,1.093,97.2,4,40,5,1388,951,695,851,255
1,8,14,35.4,29.5,27.5,100.4,0.024091507,65,1.091,97.2,7,60,3,1335,1015,836,819,178
1,8,15,36.0,30.5,28.7,100.3,0.025927178,68,1.085,102.5,5,30,4,1207,869,682,848,187
1,8,16,35.6,31.1,29.6,100.2,0.027414716,73,1.083,105.9,5,30,4,1014,730,573,60,157
1,8,17,31.0,27.5,26.1,100.2,0.022149719,77,1.108,87.6,8,30,10,768,277,30,60,247
1,8,18,26.0,24.0,22.9,100.3,0.018214112,85,1.135,72.4,4,300,10,486,175,19,130,156
1,8,19,25.4,24.1,23.3,100.4,0.018608148,90,1.138,72.8,2,350,9,188,84,20,9,64
1,8,20,25.2,24.0,23.2,100.4,0.018532379,91,1.139,72.4,0,0,9,2,1,0,0,1
1,8,21,25.4,24.1,23.3,100.5,0.018588518,90,1.139,72.7,0,0,9,0,0,0,0,0
1,8,22,25.6,24.1,23.2,100.5,0.018504019,88,1.138,72.7,0,0,9,0,0,0,0,0
1,8,23,25.0,24.2,23.6,100.7,0.018879087,94,1.142,73.1,4,30,10,0,0,0,0,0
1,8,24,24.7,24.1,23.5,100.7,0.018845298,95,1.143,72.7,0,0,10,0,0,0,0,0
1,9,1,24.6,24.1,23.6,100.6,0.018907159,96,1.143,72.7,0,0,10,0,0,0,0,0
1,9,2,24.0,24.0,23.7,100.5,0.019020307,100,1.143,72.4,2,350,10,0,0,0,0,0
1,9,3,24.0,24.0,23.7,100.3,0.019059396,100,1.141,72.5,2,30,10,0,0,0,0,0
1,9,4,24.1,24.1,23.8,100.3,0.019177705,100,1.141,72.9,2,30,10,0,0,0,0,0
1,9,5,24.3,24.1,23.7,100.3,0.019093038,98,1.140,72.9,3,30,10,0,0,0,0,0
1,9,6,24.7,24.0,23.4,100.4,0.018743708,94,1.140,72.4,4,40,9,33,15,3,3,11
1,9,7,24.6,23.7,23.0,100.4,0.018308906,93,1.141,71.2,3,30,10,292,105,11,27,94
1,9,8,25.2,24.4,23.8,100.4,0.019177751,94,1.137,74.0,4,30,10,587,211,23,42,189
1,9,9,27.0,25.4,24.5,100.4,0.020076804,88,1.129,78.2,6,30,10,859,309,33,47,276
1,9,10,27.5,25.5,24.5,100.5,0.020013309,85,1.128,78.5,5,20,10,1088,392,42,49,350
1,9,11,29.5,26.5,25.2,100.5,0.020902133,79,1.119,82.9,5,30,10,1260,453,49,51,405
